Alternative New Code,D365 Name,Serial Required
1050003160,"NOZZLE, CUTTING, 0F HARRIS",Yes
1050003260,1F Cutting Nozzle,no
1050003170,"NOZZLE, CUTTING, 2 MM, AFROX",no
1050003270,3F Cutting Nozzle,no
1050003280,4F Cutting Nozzle,no
1050003290,5F Nozzle,no
2050028580,1.2Mm Contact Tip,no
2050028590,600mm x 1.5mm RODS REF NO W001031,no
2050028600,Transarc Sub B,no
1050007520,"BRAZING ROD, 3.2mm",no
1050007530,"BRAZING ROD, 1.2mm",no
1050008630,"FLUX, BRAZING",no
1050000040,"DISC, GRINDER, BABY, 115",no
1050000050,"CUTTING DISC, METAL, 115M",no
1050002480,"DISC, GRINDER, MEDIUM, 230",no
1050000060,Medium Cutting Disc,no
1050002490,"BRUSH, CUP WIRE, 5""",no
1050002500,Wire Power Brush 6Mm,no
1050002510,"BRUSH, WIRE, COARSE, 5 ROW",no
1050002520,"BRUSH, CIRCULAR, GRAIN 80, 6""x1"" x1""",no
2070035130,"GRINDER, FAN, 50 X 50 X 60mm",no
1050002530,80X20X6 Flapper,no
1050002540,"DISC, 115MM, FLAPPING",no
1080000460,BUTTERFLY HINGE,no
1050000070,4100X34X3/4 Material Blade,no
1050007540,"GOUGING ROD, 8mm",no
1050003180,"NOZZLE, SPRAY CLEANER, 220 GR",no
1050007550,"WELDING ROD, 3.15mm, GENERAL PURPOSE, MILD STEEL",no
1050007560,"WELDING ROD, 2.5mm, GENERAL PURPOSE, MILD STEEL",no
1050007570,"WELDING ROD, 4mm, GENERAL PURPOSE, MILD STEEL",no
1050007580,"WELDING ROD, 3.15mm, LH 7018-1",no
1050007590,"WELDING ROD, 3.25mm, STAINLESS STEEL, E312-16",no
1050007600,"WELDING ROD, STAINLESS STEEL EN26",no
1050007610,"WELDING ROD, 4mm, LH 7018-1",no
1050007620,"WELDING ROD, 4mm, AWS A5.5.96 E11018-M",no
1050008070,"WELDING WIRE, GENERAL PURPOSE, CO2, 1.2mm",no
1050008080,"WELDING WIRE, 1.2mm, 6048",no
1050008090,"WELDING WIRE, 2.8mm, AF 718 S, UTP",no
1050008100,"WELDING WIRE, 3.2mm (TRANSARC)",no
1050008110,"WELDING WIRE, 1.2mm, 308 LSI, STAINLESS STEEL",no
1050008120,"WELDING WIRE, 1.2mm, ZD 50-6 (CHINA)",no
1050003300,"NOZZLE, WELDING, 0.8",no
1050003190,"NOZZLE, WELDING, 1.2",no
1050003200,"NOZZLE, CUTTING, 1.6 MM",no
1050008640,"SILVER SOLDER, 600mm X 1.5mm",no
1050002290,WIRE BRUSHE,no
1050007320,"WELDING ELECTRODE HOLDER, 500A",no
1050002550,Flap Sanding Disc 115mm 60Grid,no
1030000020,"SPANJAARD SPARK, 500mm, NON FLAMMABLE",no
